prompt_id,kind,task,prompt_idx,partner_id,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,query_input,query_output,prompt
74,icl,knowledge/country_capital,37,75,Libya,Dutch East Indies,Ransom County,Kingdom of Wessex,Philippines,Achaemenid Empire,Metropolis of Greater Paris,Free State of Prussia,Republic of Venice,Demerara,Tripoli,Jakarta,Lisbon,Winchester,Manila,Babylon,Paris,Berlin,Venice,Georgetown,Ukrainian State,Kiev,"Libya → Tripoli
Dutch East Indies → Jakarta
Ransom County → Lisbon
Kingdom of Wessex → Winchester
Philippines → Manila
Achaemenid Empire → Babylon
Metropolis of Greater Paris → Paris
Free State of Prussia → Berlin
Republic of Venice → Venice
Demerara → Georgetown
Ukrainian State →"
75,query_only,knowledge/country_capital,37,74,,,,,,,,,,,,,,,,,,,,,Province of Florence,Florence,Province of Florence →
76,icl,knowledge/country_capital,38,77,Second French Empire,Scotland,La Colle,Kingdom of Wessex,Bavaria,Prague-West District,Syria,Kingdom of Sicily,Brandenburg-Prussia,Republic of Florence,Paris,Edinburgh,Monaco,Winchester,Munich,Prague,Damascus,Naples,Berlin,Florence,Province of Florence,Florence,"Second French Empire → Paris
Scotland → Edinburgh
La Colle → Monaco
Kingdom of Wessex → Winchester
Bavaria → Munich
Prague-West District → Prague
Syria → Damascus
Kingdom of Sicily → Naples
Brandenburg-Prussia → Berlin
Republic of Florence → Florence
Province of Florence →"
77,query_only,knowledge/country_capital,38,76,,,,,,,,,,,,,,,,,,,,,Brandenburg-Prussia,Berlin,Brandenburg-Prussia →
78,icl,knowledge/country_capital,39,79,Turkey,Austria-Hungary,Republic of Florence,Republic of Venice,Hawaii,Rashidun Caliphates,Kingdom of Sicily,Kingdom of Hungary,Nazi Germany,Kingdom of Valencia,Ankara,Vienna,Florence,Venice,Honolulu,Medina,Naples,Budapest,Berlin,Valencia,Brandenburg-Prussia,Berlin,"Turkey → Ankara
Austria-Hungary → Vienna
Republic of Florence → Florence
Republic of Venice → Venice
Hawaii → Honolulu
Rashidun Caliphates → Medina
Kingdom of Sicily → Naples
Kingdom of Hungary → Budapest
Nazi Germany → Berlin
Kingdom of Valencia → Valencia
Brandenburg-Prussia →"
79,query_only,knowledge/country_capital,39,78,,,,,,,,,,,,,,,,,,,,,Republic of Venice,Venice,Republic of Venice →
80,icl,knowledge/country_capital,40,81,Bavaria,United States Army Military Government in Korea,Lazio,Portugal,Kingdom of Libya,La Condamine,Libya,British America,Empire of Japan,Kabul Shahi,Munich,Seoul,Rome,Lisbon,Tripoli,Monaco,Tripoli,London,Tokyo,Kabul,Republic of Venice,Venice,"Bavaria → Munich
United States Army Military Government in Korea → Seoul
Lazio → Rome
Portugal → Lisbon
Kingdom of Libya → Tripoli
La Condamine → Monaco
Libya → Tripoli
British America → London
Empire of Japan → Tokyo
Kabul Shahi → Kabul
Republic of Venice →"
81,query_only,knowledge/country_capital,40,80,,,,,,,,,,,,,,,,,,,,,Syria,Damascus,Syria →
82,icl,knowledge/country_capital,41,83,Flanders,British Guiana,Copenhagen Municipality,Kabul Shahi,Czech Socialist Republic,Rashidun Caliphates,United States Army Military Government in Korea,Germany,Lebanon,Metropolitan France,Brussels,Georgetown,Copenhagen,Kabul,Prague,Medina,Seoul,Berlin,Beirut,Paris,Syria,Damascus,"Flanders → Brussels
British Guiana → Georgetown
Copenhagen Municipality → Copenhagen
Kabul Shahi → Kabul
Czech Socialist Republic → Prague
Rashidun Caliphates → Medina
United States Army Military Government in Korea → Seoul
Germany → Berlin
Lebanon → Beirut
Metropolitan France → Paris
Syria →"
83,query_only,knowledge/country_capital,41,82,,,,,,,,,,,,,,,,,,,,,Egypt,Cairo,Egypt →
84,icl,knowledge/country_capital,42,85,Straits Settlements,Afghanistan,Grand Duchy of Finland,Kabul Shahi,Finnish Socialist Workers' Republic,Kingdom of Bohemia,England,South Yemen,Kingdom of Valencia,occupation of Japan,Singapore,Kabul,Helsinki,Kabul,Helsinki,Prague,Winchester,Aden,Valencia,Tokyo,Egypt,Cairo,"Straits Settlements → Singapore
Afghanistan → Kabul
Grand Duchy of Finland → Helsinki
Kabul Shahi → Kabul
Finnish Socialist Workers' Republic → Helsinki
Kingdom of Bohemia → Prague
England → Winchester
South Yemen → Aden
Kingdom of Valencia → Valencia
occupation of Japan → Tokyo
Egypt →"
85,query_only,knowledge/country_capital,42,84,,,,,,,,,,,,,,,,,,,,,Prague-West District,Prague,Prague-West District →
86,icl,knowledge/country_capital,43,87,Umayyad Caliphate,Makkah Region,Philippines,McMinn County,Kabul Shahi,Turkey,Metropolis of Greater Paris,Brandenburg-Prussia,State of Brazil,Copenhagen Municipality,Damascus,Mecca,Manila,Athens,Kabul,Ankara,Paris,Berlin,Salvador,Copenhagen,Prague-West District,Prague,"Umayyad Caliphate → Damascus
Makkah Region → Mecca
Philippines → Manila
McMinn County → Athens
Kabul Shahi → Kabul
Turkey → Ankara
Metropolis of Greater Paris → Paris
Brandenburg-Prussia → Berlin
State of Brazil → Salvador
Copenhagen Municipality → Copenhagen
Prague-West District →"
87,query_only,knowledge/country_capital,43,86,,,,,,,,,,,,,,,,,,,,,Kingdom of Sicily,Naples,Kingdom of Sicily →
88,icl,knowledge/country_capital,44,89,Delhi Sultanate,Habsburg Monarchy,Egypt,Lebanon,Jerusalem District,Kiev-Sviatoshyn Raion,Demerara,Makkah Region,Aleppo Governorate,Sovereign Military Order of Malta,Delhi,Vienna,Cairo,Beirut,Jerusalem,Kiev,Georgetown,Mecca,Aleppo,Rome,Kingdom of Sicily,Naples,"Delhi Sultanate → Delhi
Habsburg Monarchy → Vienna
Egypt → Cairo
Lebanon → Beirut
Jerusalem District → Jerusalem
Kiev-Sviatoshyn Raion → Kiev
Demerara → Georgetown
Makkah Region → Mecca
Aleppo Governorate → Aleppo
Sovereign Military Order of Malta → Rome
Kingdom of Sicily →"
89,query_only,knowledge/country_capital,44,88,,,,,,,,,,,,,,,,,,,,,Lebanon,Beirut,Lebanon →
90,icl,knowledge/country_capital,45,91,Al Madinah Region,Jamaica,Afghan Transitional Administration,Colonial Brazil,Syria,Spanish East Indies,Makkah Region,South Korea,Kingdom of Hungary,Kingdom of Egypt,Medina,Kingston,Kabul,Salvador,Damascus,Manila,Mecca,Seoul,Budapest,Cairo,Lebanon,Beirut,"Al Madinah Region → Medina
Jamaica → Kingston
Afghan Transitional Administration → Kabul
Colonial Brazil → Salvador
Syria → Damascus
Spanish East Indies → Manila
Makkah Region → Mecca
South Korea → Seoul
Kingdom of Hungary → Budapest
Kingdom of Egypt → Cairo
Lebanon →"
91,query_only,knowledge/country_capital,45,90,,,,,,,,,,,,,,,,,,,,,Kabul Shahi,Kabul,Kabul Shahi →
92,icl,knowledge/country_capital,46,93,Kingdom of Libya,Neo-Babylonian Empire,Bohemia,Jerusalem District,Kingdom of Sicily,Afghan Transitional Administration,Anatolia Eyalet,Finnish Socialist Workers' Republic,Tughlaq dynasty,4th of August Regime,Tripoli,Babylon,Prague,Jerusalem,Naples,Kabul,Ankara,Helsinki,Delhi,Athens,Kabul Shahi,Kabul,"Kingdom of Libya → Tripoli
Neo-Babylonian Empire → Babylon
Bohemia → Prague
Jerusalem District → Jerusalem
Kingdom of Sicily → Naples
Afghan Transitional Administration → Kabul
Anatolia Eyalet → Ankara
Finnish Socialist Workers' Republic → Helsinki
Tughlaq dynasty → Delhi
4th of August Regime → Athens
Kabul Shahi →"
93,query_only,knowledge/country_capital,46,92,,,,,,,,,,,,,,,,,,,,,Ransom County,Lisbon,Ransom County →
94,icl,knowledge/country_capital,47,95,British Guiana,La Condamine,Czech Socialist Republic,Veneto,Sovereign Military Order of Malta,Iraq,Lodi dynasty,Kingdom of Hungary,Qing dynasty,Rashidun Caliphates,Georgetown,Monaco,Prague,Venice,Rome,Baghdad,Delhi,Budapest,Beijing,Medina,Ransom County,Lisbon,"British Guiana → Georgetown
La Condamine → Monaco
Czech Socialist Republic → Prague
Veneto → Venice
Sovereign Military Order of Malta → Rome
Iraq → Baghdad
Lodi dynasty → Delhi
Kingdom of Hungary → Budapest
Qing dynasty → Beijing
Rashidun Caliphates → Medina
Ransom County →"
95,query_only,knowledge/country_capital,47,94,,,,,,,,,,,,,,,,,,,,,Brandenburg-Prussia,Berlin,Brandenburg-Prussia →
96,icl,knowledge/country_capital,48,97,Second French Empire,Lebanon,Umayyad Caliphate,Czech Republic,Prague-West District,Paris Commune,Tughlaq dynasty,Rashidun Caliphates,Tripolitania,State of Brazil,Paris,Beirut,Damascus,Prague,Prague,Paris,Delhi,Medina,Tripoli,Salvador,Brandenburg-Prussia,Berlin,"Second French Empire → Paris
Lebanon → Beirut
Umayyad Caliphate → Damascus
Czech Republic → Prague
Prague-West District → Prague
Paris Commune → Paris
Tughlaq dynasty → Delhi
Rashidun Caliphates → Medina
Tripolitania → Tripoli
State of Brazil → Salvador
Brandenburg-Prussia →"
97,query_only,knowledge/country_capital,48,96,,,,,,,,,,,,,,,,,,,,,Bavaria,Munich,Bavaria →
98,icl,knowledge/country_capital,49,99,Rif Dimashq Governorate,Achaemenid Empire,Kingdom of the Netherlands,Denmark,Kingdom of Hungary,Demerara,Kingdom of Wessex,South Yemen,Philippines,Uusimaa,Damascus,Babylon,Amsterdam,Copenhagen,Budapest,Georgetown,Winchester,Aden,Manila,Helsinki,Bavaria,Munich,"Rif Dimashq Governorate → Damascus
Achaemenid Empire → Babylon
Kingdom of the Netherlands → Amsterdam
Denmark → Copenhagen
Kingdom of Hungary → Budapest
Demerara → Georgetown
Kingdom of Wessex → Winchester
South Yemen → Aden
Philippines → Manila
Uusimaa → Helsinki
Bavaria →"
99,query_only,knowledge/country_capital,49,98,,,,,,,,,,,,,,,,,,,,,First Czechoslovak Republic,Prague,First Czechoslovak Republic →
100,icl,knowledge/football_player_position,0,101,Quinn Gray,Earl Morrall,Guilherme Finkler,Ty Detmer,Otis Wilson,Selim Benachour,Brian Boucher,Ross Barkley,Ryan Miller,Mark Malone,quarterback,quarterback,midfielder,quarterback,linebacker,midfielder,goaltender,midfielder,goaltender,quarterback,Giuliano Victor de Paula,midfielder,"Quinn Gray → quarterback
Earl Morrall → quarterback
Guilherme Finkler → midfielder
Ty Detmer → quarterback
Otis Wilson → linebacker
Selim Benachour → midfielder
Brian Boucher → goaltender
Ross Barkley → midfielder
Ryan Miller → goaltender
Mark Malone → quarterback
Giuliano Victor de Paula →"
101,query_only,knowledge/football_player_position,0,100,,,,,,,,,,,,,,,,,,,,,Milton Blanco,midfielder,Milton Blanco →
102,icl,knowledge/football_player_position,1,103,Yannick Cahuzac,Brian Bosworth,Steve Barber,Jonathan Osorio,Tim Raines,Archie Manning,Agostino Di Bartolomei,Bryan Robson,Daniel Berg Hestad,Eugen Polanski,midfielder,linebacker,pitcher,midfielder,outfielder,quarterback,midfielder,midfielder,midfielder,midfielder,Milton Blanco,midfielder,"Yannick Cahuzac → midfielder
Brian Bosworth → linebacker
Steve Barber → pitcher
Jonathan Osorio → midfielder
Tim Raines → outfielder
Archie Manning → quarterback
Agostino Di Bartolomei → midfielder
Bryan Robson → midfielder
Daniel Berg Hestad → midfielder
Eugen Polanski → midfielder
Milton Blanco →"
103,query_only,knowledge/football_player_position,1,102,,,,,,,,,,,,,,,,,,,,,Brian Maisonneuve,midfielder,Brian Maisonneuve →
104,icl,knowledge/football_player_position,2,105,Tommy Docherty,Steve McNair,Morgan Schneiderlin,Sean Salisbury,Abdel Sattar Sabry,Clete Thomas,Aaron Rodgers,Carson Coffman,Konstantin Vassiljev,Corey Patterson,midfielder,quarterback,midfielder,quarterback,midfielder,outfielder,quarterback,quarterback,midfielder,outfielder,Brian Maisonneuve,midfielder,"Tommy Docherty → midfielder
Steve McNair → quarterback
Morgan Schneiderlin → midfielder
Sean Salisbury → quarterback
Abdel Sattar Sabry → midfielder
Clete Thomas → outfielder
Aaron Rodgers → quarterback
Carson Coffman → quarterback
Konstantin Vassiljev → midfielder
Corey Patterson → outfielder
Brian Maisonneuve →"
105,query_only,knowledge/football_player_position,2,104,,,,,,,,,,,,,,,,,,,,,Kevin Kampl,midfielder,Kevin Kampl →
106,icl,knowledge/football_player_position,3,107,Fred Lynn,DeWayne Wise,Steve Valiquette,Randy Gradishar,McDonald Mariga,Jamie Winborn,Steven Nzonzi,Lee Roy Jordan,Alex Auld,Kelly Hrudey,outfielder,outfielder,goaltender,linebacker,midfielder,linebacker,midfielder,linebacker,goaltender,goaltender,Kevin Kampl,midfielder,"Fred Lynn → outfielder
DeWayne Wise → outfielder
Steve Valiquette → goaltender
Randy Gradishar → linebacker
McDonald Mariga → midfielder
Jamie Winborn → linebacker
Steven Nzonzi → midfielder
Lee Roy Jordan → linebacker
Alex Auld → goaltender
Kelly Hrudey → goaltender
Kevin Kampl →"
107,query_only,knowledge/football_player_position,3,106,,,,,,,,,,,,,,,,,,,,,Chan Ho Park,pitcher,Chan Ho Park →
108,icl,knowledge/football_player_position,4,109,Tony Conigliaro,Ralph Milne,Trey DePriest,Mike Garcia,Luke Chadwick,Reinhard Divis,Yannick Carter,Pat Swilling,Tim Hiller,Martin Ericsson,outfielder,midfielder,linebacker,pitcher,midfielder,goaltender,linebacker,linebacker,quarterback,midfielder,Chan Ho Park,pitcher,"Tony Conigliaro → outfielder
Ralph Milne → midfielder
Trey DePriest → linebacker
Mike Garcia → pitcher
Luke Chadwick → midfielder
Reinhard Divis → goaltender
Yannick Carter → linebacker
Pat Swilling → linebacker
Tim Hiller → quarterback
Martin Ericsson → midfielder
Chan Ho Park →"
109,query_only,knowledge/football_player_position,4,108,,,,,,,,,,,,,,,,,,,,,Gary Hogeboom,quarterback,Gary Hogeboom →
110,icl,knowledge/football_player_position,5,111,Derrick Brooks,Shane Greene,Kenny Demens,Saleem Rasheed,Anders Ågnes Konradsen,Jiloan Hamad,Quentin Groves,Tarek Yehia,Alexi Ogando,Marcus Randall,linebacker,pitcher,linebacker,linebacker,midfielder,midfielder,linebacker,midfielder,pitcher,quarterback,Gary Hogeboom,quarterback,"Derrick Brooks → linebacker
Shane Greene → pitcher
Kenny Demens → linebacker
Saleem Rasheed → linebacker
Anders Ågnes Konradsen → midfielder
Jiloan Hamad → midfielder
Quentin Groves → linebacker
Tarek Yehia → midfielder
Alexi Ogando → pitcher
Marcus Randall → quarterback
Gary Hogeboom →"
111,query_only,knowledge/football_player_position,5,110,,,,,,,,,,,,,,,,,,,,,Dan McGwire,quarterback,Dan McGwire →
112,icl,knowledge/football_player_position,6,113,Emanuele Filippini,Russell Bromage,Kenny Demens,Dan Morgan,Woodrow Dantzler,Johnny Vander Meer,Scot Brantley,Jocelyn Gourvennec,Luis Tiant,Nolan Schaefer,midfielder,midfielder,linebacker,linebacker,quarterback,pitcher,linebacker,midfielder,pitcher,goaltender,Dan McGwire,quarterback,"Emanuele Filippini → midfielder
Russell Bromage → midfielder
Kenny Demens → linebacker
Dan Morgan → linebacker
Woodrow Dantzler → quarterback
Johnny Vander Meer → pitcher
Scot Brantley → linebacker
Jocelyn Gourvennec → midfielder
Luis Tiant → pitcher
Nolan Schaefer → goaltender
Dan McGwire →"
113,query_only,knowledge/football_player_position,6,112,,,,,,,,,,,,,,,,,,,,,Ray Emery,goaltender,Ray Emery →
114,icl,knowledge/football_player_position,7,115,Peter Tom Willis,Tommy John,Tommy Kramer,Mike Teel,Pep Guardiola,Alex Stalock,Vincenzo Italiano,Les Horvath,Jacques Cloutier,David Degen,quarterback,pitcher,quarterback,quarterback,midfielder,goaltender,midfielder,quarterback,goaltender,midfielder,Ray Emery,goaltender,"Peter Tom Willis → quarterback
Tommy John → pitcher
Tommy Kramer → quarterback
Mike Teel → quarterback
Pep Guardiola → midfielder
Alex Stalock → goaltender
Vincenzo Italiano → midfielder
Les Horvath → quarterback
Jacques Cloutier → goaltender
David Degen → midfielder
Ray Emery →"
115,query_only,knowledge/football_player_position,7,114,,,,,,,,,,,,,,,,,,,,,Derek Lowe,pitcher,Derek Lowe →
116,icl,knowledge/football_player_position,8,117,Drew Henson,Alessio Tacchinardi,Rickey Foggie,Johan Arneng,Éric Djemba-Djemba,Andre Tippett,Johnny Unitas,Clete Thomas,Bruce Gradkowski,Giuseppe Furino,quarterback,midfielder,quarterback,midfielder,midfielder,linebacker,quarterback,outfielder,quarterback,midfielder,Derek Lowe,pitcher,"Drew Henson → quarterback
Alessio Tacchinardi → midfielder
Rickey Foggie → quarterback
Johan Arneng → midfielder
Éric Djemba-Djemba → midfielder
Andre Tippett → linebacker
Johnny Unitas → quarterback
Clete Thomas → outfielder
Bruce Gradkowski → quarterback
Giuseppe Furino → midfielder
Derek Lowe →"
117,query_only,knowledge/football_player_position,8,116,,,,,,,,,,,,,,,,,,,,,Kerlon Moura Souza,midfielder,Kerlon Moura Souza →
118,icl,knowledge/football_player_position,9,119,Christian Noboa,Steve Passmore,Brian Bosworth,Archie Gemmill,DeWayne Wise,Trey DePriest,Tommy John,George Best,Johan Gastien,Robbie Earle,midfielder,goaltender,linebacker,midfielder,outfielder,linebacker,pitcher,midfielder,midfielder,midfielder,Kerlon Moura Souza,midfielder,"Christian Noboa → midfielder
Steve Passmore → goaltender
Brian Bosworth → linebacker
Archie Gemmill → midfielder
DeWayne Wise → outfielder
Trey DePriest → linebacker
Tommy John → pitcher
George Best → midfielder
Johan Gastien → midfielder
Robbie Earle → midfielder
Kerlon Moura Souza →"
119,query_only,knowledge/football_player_position,9,118,,,,,,,,,,,,,,,,,,,,,Daniel Royer,midfielder,Daniel Royer →
120,icl,knowledge/football_player_position,10,121,Andre Tippett,Junior Seau,David Whitehurst,Michael Laudrup,Jon Casey,Joe Ferguson,Josh Beckett,Pedro Beato,Jerry Sisemore,Florin Cernat,linebacker,linebacker,quarterback,midfielder,goaltender,quarterback,pitcher,pitcher,tackle,midfielder,Daniel Royer,midfielder,"Andre Tippett → linebacker
Junior Seau → linebacker
David Whitehurst → quarterback
Michael Laudrup → midfielder
Jon Casey → goaltender
Joe Ferguson → quarterback
Josh Beckett → pitcher
Pedro Beato → pitcher
Jerry Sisemore → tackle
Florin Cernat → midfielder
Daniel Royer →"
121,query_only,knowledge/football_player_position,10,120,,,,,,,,,,,,,,,,,,,,,Scott Fankhouser,goaltender,Scott Fankhouser →
122,icl,knowledge/football_player_position,11,123,Erik Komatsu,Stan Gelbaugh,Patrick Roy,Paulo Almeida,Steve Castle,Vegard Skogheim,Nolan Ryan,Virgil Carter,Pep Guardiola,John Navarre,outfielder,quarterback,goaltender,midfielder,midfielder,midfielder,pitcher,quarterback,midfielder,quarterback,Scott Fankhouser,goaltender,"Erik Komatsu → outfielder
Stan Gelbaugh → quarterback
Patrick Roy → goaltender
Paulo Almeida → midfielder
Steve Castle → midfielder
Vegard Skogheim → midfielder
Nolan Ryan → pitcher
Virgil Carter → quarterback
Pep Guardiola → midfielder
John Navarre → quarterback
Scott Fankhouser →"
